15:36:48.040 2023-11-10,13:05:17,VB,0827,CS,0,CG,0,CA,1,CM,0,EU, 44,-15, 180,GY,  0, -0,  0,LA,  0, -0, -0,MA, -4, -5, 26,AC, -2, -0,-10,GR, -3, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.099 2023-11-10,13:05:17,VB,0814,CS,0,CG,0,CA,1,CM,0,EU, 45,-15, 180,GY,  0,  0,  0,LA,  0, -0, -0,MA, -3, -4, 26,AC, -3, -0,-10,GR, -3, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.122 2023-11-10,13:05:17,VB,0793,CS,0,CG,0,CA,1,CM,0,EU, 45,-15, 179,GY,  0,  0,  0,LA,  0, -0, -0,MA, -3, -4, 27,AC, -2, -0,-10,GR, -3, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.211 2023-11-10,13:05:17,VB,0822,CS,0,CG,0,CA,1,CM,0,EU, 46,-15, 179,GY,  0,  0,  0,LA,  0, -0, -0,MA, -3, -4, 27,AC, -2, -0,-10,GR, -2, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.233 2023-11-10,13:05:17,VB,0816,CS,0,CG,0,CA,1,CM,0,EU, 46,-15, 179,GY,  0, -0,  0,LA,  0,  0,  0,MA, -3, -3, 27,AC, -2, -0, -9,GR, -2, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.329 2023-11-10,13:05:18,VB,0816,CS,0,CG,0,CA,1,CM,0,EU, 48,-15, 179,GY,  0,  0,  0,LA,  0, -0,  0,MA, -4, -3, 28,AC, -2, -0, -9,GR, -2, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.352 2023-11-10,13:05:18,VB,0827,CS,0,CG,0,CA,1,CM,0,EU, 49,-15, 179,GY,  0,  0,  0,LA,  0, -0, -0,MA, -4, -3, 28,AC, -2, -0,-10,GR, -2, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.408 2023-11-10,13:05:18,VB,0810,CS,0,CG,0,CA,1,CM,0,EU, 50,-15, 180,GY, -0, -0,  0,LA, -0,  0,  0,MA, -4, -2, 27,AC, -3,  0, -9,GR, -2, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.431 2023-11-10,13:05:18,VB,0800,CS,0,CG,0,CA,1,CM,0,EU, 51,-15, 180,GY,  0, -0,  1,LA, -0, -0, -0,MA, -4, -3, 28,AC, -3,  0,-10,GR, -3, -0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
15:36:48.525 2023-11-10,13:05:18,VB,0816,CS,0,CG,0,CA,1,CM,0,EU, 54,-15,-179,GY,  0, -0,  1,LA,  0,  0,  0,MA, -4, -3, 28,AC, -2,  0, -9,GR, -3,  0, -9,T,27,F,0,LA,0000.0000,LO,0000.0000,P, 0.00,V,00.00000,S,00
