15:37:32.779 2023-11-10,13:06:02,VB,816,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,35,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8108,LO,9713.9990,P,0,V,0.3,S,4,6.8108,13.9990,0.0037,0.0039,6.9,6.1,18
15:37:32.836 2023-11-10,13:06:02,VB,813,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8081,LO,9713.9961,P,0,V,0.3,S,4,6.8081,13.9961,0.0010,0.0010,1.9,1.6,19
15:37:32.896 2023-11-10,13:06:02,VB,800,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8081,LO,9713.9961,P,0,V,0.25,S,4,6.8081,13.9961,0.0010,0.0010,1.9,1.6,20
15:37:32.956 2023-11-10,13:06:02,VB,827,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,2,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8081,LO,9713.9971,P,0,V,0.25,S,4,6.8081,13.9971,0.0010,0.0020,1.9,3.1,21
15:37:32.977 2023-11-10,13:06:02,VB,827,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,2,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8081,LO,9713.9971,P,0,V,0.88,S,4,6.8081,13.9971,0.0010,0.0020,1.9,3.1,22
15:37:33.038 2023-11-10,13:06:02,VB,832,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,33,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8086,LO,9713.9971,P,0,V,0.88,S,4,6.8086,13.9971,0.0015,0.0020,2.8,3.1,23
15:37:33.097 2023-11-10,13:06:02,VB,822,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8086,LO,9713.9971,P,0,V,0.09,S,4,6.8086,13.9971,0.0015,0.0020,2.8,3.1,24
15:37:33.120 2023-11-10,13:06:02,VB,808,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8079,LO,9713.9961,P,0,V,0.09,S,4,6.8079,13.9961,0.0008,0.0010,1.5,1.6,25
15:37:33.179 2023-11-10,13:06:02,VB,832,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,2,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8079,LO,9713.9961,P,0,V,0.34,S,4,6.8079,13.9961,0.0008,0.0010,1.5,1.6,26
15:37:33.238 2023-11-10,13:06:02,VB,799,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,2,33,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8074,LO,9713.9951,P,0,V,0.34,S,4,6.8074,13.9951,0.0003,0.0000,0.6,0.0,27
15:37:33.298 2023-11-10,13:06:03,VB,827,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8074,LO,9713.9951,P,0,V,0.4,S,4,6.8074,13.9951,0.0003,0.0000,0.6,0.0,28
15:37:33.321 2023-11-10,13:06:03,VB,823,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8069,LO,9713.9951,P,0,V,0.4,S,4,6.8069,13.9951,-0.0002,0.0000,-0.4,0.0,29
15:37:33.380 2023-11-10,13:06:03,VB,830,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,2,33,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8069,LO,9713.9951,P,0,V,0.1,S,4,6.8069,13.9951,-0.0002,0.0000,-0.4,0.0,30
15:37:33.439 2023-11-10,13:06:03,VB,835,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,35,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8066,LO,9713.9951,P,0,V,0.1,S,4,6.8066,13.9951,-0.0005,0.0000,-0.9,0.0,31
15:37:33.499 2023-11-10,13:06:03,VB,830,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8066,LO,9713.9951,P,0,V,0.11,S,4,6.8066,13.9951,-0.0005,0.0000,-0.9,0.0,32
15:37:33.523 2023-11-10,13:06:03,VB,827,CS,0,CG,0,CA,1,CM,1,EU,110,12,178,GY,0,0,0,LA,0,0,0,MA,-30,3,34,AC,2,0,-10,GR,2,0,-10,T,28,F,1,LA,3306.8054,LO,9713.9941,P,0,V,0.11,S,4,6.8054,13.9941,-0.0017,-0.0010,-3.1,-1.6,33
